Date,Actual,Predicted
1/2/2020,2,4
1/3/2020,5,4
1/6/2020,6,3
1/7/2020,7,4
1/8/2020,8,7
1/9/2020,5,5
1/10/2020,5,5
1/11/2020,1,1
1/13/2020,11,6
1/14/2020,10,8
1/15/2020,10,6
1/16/2020,10,8
1/17/2020,7,6
1/20/2020,6,7
1/21/2020,8,7
1/22/2020,9,7
1/23/2020,5,6
1/24/2020,9,6
1/25/2020,1,2
1/27/2020,6,7
1/28/2020,3,7
1/29/2020,6,7
1/30/2020,10,6
1/31/2020,6,5
2/1/2020,2,1
2/3/2020,6,6
2/4/2020,8,6
2/5/2020,7,6
2/6/2020,4,5
2/7/2020,7,7
2/8/2020,1,2
2/9/2020,1,0
2/10/2020,5,6
2/11/2020,12,6
2/12/2020,5,5
2/13/2020,10,8
2/14/2020,7,6
2/15/2020,1,2
2/16/2020,1,3
2/17/2020,5,6
2/18/2020,5,7
2/19/2020,13,8
2/20/2020,6,7
2/21/2020,3,7
2/22/2020,2,2
2/24/2020,6,7
2/25/2020,7,8
2/26/2020,6,8
2/27/2020,15,8
2/28/2020,8,8
2/29/2020,2,2
3/2/2020,7,8
3/3/2020,10,8
3/4/2020,9,8
3/5/2020,14,8
3/6/2020,6,7
3/7/2020,1,2
3/10/2020,8,7
3/11/2020,7,7
3/12/2020,6,8
3/13/2020,3,5
3/14/2020,1,2
3/15/2020,1,3
3/16/2020,8,6
3/17/2020,3,7
3/18/2020,4,6
3/19/2020,3,5
3/20/2020,7,7
3/22/2020,1,1
3/23/2020,6,5
3/24/2020,5,5
3/25/2020,2,5
3/26/2020,5,5
3/27/2020,8,5
3/29/2020,1,1
3/30/2020,5,5
3/31/2020,6,4
4/1/2020,4,4
4/2/2020,3,5
4/3/2020,8,5
4/4/2020,2,0
4/5/2020,2,0
4/6/2020,6,4
4/7/2020,4,4
4/8/2020,6,6
4/9/2020,5,6
4/10/2020,1,4
4/14/2020,7,6
4/15/2020,5,6
4/16/2020,7,5
4/17/2020,5,6
4/21/2020,3,5
4/22/2020,5,5
4/23/2020,8,5
4/24/2020,7,4
4/25/2020,1,0
4/27/2020,8,5
4/28/2020,5,5
4/29/2020,12,6
4/30/2020,8,5
5/1/2020,1,4
5/2/2020,2,0
5/3/2020,1,1
5/4/2020,3,6
5/5/2020,4,6
5/6/2020,11,6
5/7/2020,2,5
5/8/2020,3,5
5/10/2020,1,1
5/11/2020,9,5
5/12/2020,8,7
